Символ,Частота,Код
'V ',0.000048,11111010111101
'rs',0.000047,11111010111110
' N',0.000047,111110101111110
'?.',0.000047,111110101111111
'йч',0.000047,11111011000000
'и:',0.000046,11111011000001
'йк',0.000046,11111011000010
'ь;',0.000046,111110110000110
's.',0.000046,111110110000111
'ыз',0.000046,11111011000100
"'""В'",0.000046,111110110001010
' C',0.000046,111110110001011
'м-',0.000046,11111011000110
'юр',0.000045,111110110001110
'tt',0.000045,111110110001111
'-м',0.000045,11111011001000
"'?""'",0.000045,11111011001001
'я\n',0.000045,111110110010100
'2-',0.000045,111110110010101
'ré',0.000045,11111011001011
'té',0.000045,111110110011000
'юл',0.000045,111110110011001
'й!',0.000045,11111011001101
'uv',0.000045,11111011001110
'ot',0.000045,111110110011110
'т!',0.000045,111110110011111
'77',0.000044,11111011010000
'й-',0.000044,11111011010001
'ьч',0.000044,11111011010010
'Дм',0.000044,111110110100110
'76',0.000044,111110110100111
'е\n',0.000044,111110110101000
'86',0.000044,111110110101001
'-з',0.000044,11111011010101
'da',0.000044,111110110101100
'Bo',0.000044,111110110101101
'Сп',0.000044,11111011010111
'pl',0.000044,11111011011000
' щ',0.000044,11111011011001
'ha',0.000043,11111011011010
'05',0.000043,111110110110110
'Ег',0.000043,111110110110111
'У ',0.000043,111110110111000
'хм',0.000043,111110110111001
'.)',0.000043,11111011011101
"'ч,'",0.000042,11111011011110
'я;',0.000042,111110110111110
"'r,'",0.000042,111110110111111
'у-',0.000042,11111011100000
'ux',0.000042,111110111000010
'du',0.000042,111110111000011
'm-',0.000042,11111011100010
"""d'""",0.000041,111110111000110
'Мы',0.000041,111110111000111
'Об',0.000041,11111011100100
'rr',0.000041,111110111001010
'пп',0.000041,111110111001011
'сб',0.000041,11111011100110
'рщ',0.000041,111110111001110
'-l',0.000041,111110111001111
"'а""'",0.000040,11111011101000
' P',0.000040,111110111010010
'82',0.000040,111110111010011
'ni',0.000040,111110111010100
'тъ',0.000040,111110111010101
'41',0.000040,11111011101011
'83',0.000040,11111011101100
'Ли',0.000039,111110111011010
'Мн',0.000039,111110111011011
'dr',0.000039,11111011101110
'яр',0.000039,111110111011110
'bl',0.000039,111110111011111
'т?',0.000039,11111011110000
"'""Н'",0.000039,111110111100010
'0-',0.000039,111110111100011
'79',0.000039,11111011110010
'тю',0.000038,111110111100110
'мг',0.000038,111110111100111
'е:',0.000038,11111011110100
'и-',0.000038,111110111101010
'na',0.000037,111110111101011
"'ф,'",0.000037,111110111101100
' h',0.000037,111110111101101
'su',0.000037,111110111101110
'ьд',0.000037,111110111101111
'Ла',0.000037,11111011111000
' o',0.000037,111110111110010
'Ме',0.000036,111110111110011
"""u'""",0.000036,111110111110100
'50',0.000036,111110111110101
'1-',0.000036,111110111110110
' J',0.000036,111110111110111
'(о',0.000036,11111011111100
'43',0.000036,111110111111010
').',0.000036,111110111111011
'мр',0.000036,111110111111100
'ap',0.000036,111110111111101
'42',0.000036,111110111111110
'яб',0.000035,111110111111111
'Бу',0.000035,11111100000000
'3-',0.000035,111111000000010
'Ем',0.000035,111111000000011
'-о',0.000035,111111000000100
'I\n',0.000035,111111000000101
' S',0.000035,111111000000110
'Ma',0.000035,111111000000111
'дх',0.000035,11111100000100
'Ар',0.000035,111111000001010
'жь',0.000035,111111000001011
'гг',0.000034,111111000001100
'Фе',0.000034,111111000001101
'5-',0.000034,111111000001110
'лт',0.000034,111111000001111
'ér',0.000034,11111100001000
"'ж,'",0.000034,111111000010010
'Же',0.000034,111111000010011
'io',0.000034,111111000010100
'im',0.000034,111111000010101
'эк',0.000034,111111000010110
"'t,'",0.000033,111111000010111
'ét',0.000033,111111000011000
'Би',0.000033,111111000011001
'ci',0.000033,111111000011010
'êt',0.000033,111111000011011
'do',0.000033,111111000011100
'пт',0.000033,111111000011101
'-с',0.000033,111111000011110
'75',0.000033,111111000011111
'4-',0.000033,111111000100000
'va',0.000033,111111000100001
'Ос',0.000033,11111100010001
'78',0.000033,111111000100100
'бм',0.000032,111111000100101
'у!',0.000032,111111000100110
'жо',0.000032,111111000100111
'8-',0.000032,111111000101000
'Vo',0.000032,111111000101001
'м?',0.000032,111111000101010
'яй',0.000032,111111000101011
'-ф',0.000032,111111000101100
'яц',0.000032,111111000101101
'bi',0.000032,111111000101110
'Са',0.000032,111111000101111
'пь',0.000032,11111100011000
'Ив',0.000032,111111000110010
'ag',0.000032,111111000110011
'гв',0.000032,111111000110100
'Mo',0.000032,111111000110101
'вх',0.000032,111111000110110
'Лю',0.000032,111111000110111
'Жю',0.000032,111111000111000
'46',0.000031,111111000111001
'ée',0.000031,111111000111010
'йм',0.000031,111111000111011
'ь\n',0.000031,111111000111100
'у;',0.000031,111111000111101
'Оп',0.000031,111111000111110
'Ру',0.000031,111111000111111
'ei',0.000031,111111001000000
'gr',0.000031,111111001000001
'-р',0.000031,111111001000010
'6 ',0.000030,111111001000011
'ec',0.000030,111111001000100
'bo',0.000030,111111001000101
'жч',0.000030,111111001000110
'ё-',0.000030,111111001000111
'ca',0.000030,111111001001000
'rd',0.000030,111111001001001
'й;',0.000030,111111001001010
'шп',0.000030,111111001001011
'л\n',0.000030,111111001001100
'й\n',0.000030,111111001001101
'ab',0.000030,111111001001110
'74',0.000030,111111001001111
' [',0.000030,111111001010000
'6-',0.000030,111111001010001
'Бы',0.000030,111111001010010
'у:',0.000030,111111001010011
'чл',0.000030,111111001010100
'бь',0.000030,111111001010101
'(к',0.000030,111111001010110
'дю',0.000030,111111001010111
'rm',0.000030,111111001011000
'dé',0.000030,111111001011001
'Дв',0.000030,111111001011010
'эс',0.000030,111111001011011
'84',0.000030,111111001011100
'Ау',0.000030,111111001011101
'x ',0.000029,111111001011110
"'""\n'",0.000029,1111110010111110
"""n'""",0.000029,1111110010111111
'be',0.000029,111111001100000
'Le',0.000029,111111001100001
'ь:',0.000029,111111001100010
'fe',0.000029,111111001100011
'Ск',0.000029,111111001100100
'48',0.000029,111111001100101
'06',0.000029,111111001100110
"',2'",0.000029,111111001100111
'44',0.000029,111111001101000
'м;',0.000029,111111001101001
'рз',0.000028,111111001101010
'Дл',0.000028,111111001101011
'fi',0.000028,111111001101100
'юю',0.000028,1111110011011010
'ы?',0.000028,1111110011011011
'вг',0.000028,111111001101110
'-в',0.000028,111111001101111
'09',0.000028,111111001110000
'Ду',0.000028,111111001110001
'вч',0.000028,111111001110010
'Je',0.000027,111111001110011
' D',0.000027,111111001110100
' é',0.000027,111111001110101
'иф',0.000027,1111110011101100
'юн',0.000027,1111110011101101
'45',0.000027,111111001110111
'ьо',0.000027,111111001111000
'м\n',0.000027,111111001111001
'мь',0.000027,111111001111010
'47',0.000027,111111001111011
'Ес',0.000027,111111001111100
'Оч',0.000027,111111001111101
'з.',0.000027,1111110011111100
'60',0.000027,1111110011111101
']\n',0.000027,111111001111111
'-к',0.000027,111111010000000
'lo',0.000027,111111010000001
'дч',0.000027,111111010000010
'а)',0.000027,111111010000011
'Пл',0.000027,111111010000100
"'о""'",0.000027,111111010000101
'дб',0.000026,111111010000110
'еа',0.000026,1111110100001110
' E',0.000026,1111110100001111
'ьг',0.000026,111111010001000
'к-',0.000026,111111010001001
'07',0.000026,111111010001010
"'i,'",0.000026,111111010001011
'ts',0.000026,111111010001100
'Ещ',0.000026,111111010001101
'54',0.000026,111111010001110
'65',0.000026,1111110100011110
'iv',0.000025,1111110100011111
'ac',0.000025,111111010010000
'sc',0.000025,111111010010001
'л?',0.000025,111111010010010
'хе',0.000025,1111110100100110
'О ',0.000025,1111110100100111
'ul',0.000025,111111010010100
'щн',0.000025,111111010010101
"'е""'",0.000025,111111010010110
'87',0.000025,1111110100101110
'Ше',0.000025,1111110100101111
'08',0.000025,111111010011000
'й?',0.000024,111111010011001
'Кт',0.000024,111111010011010
'вв',0.000024,1111110100110110
'02',0.000024,1111110100110111
'fo',0.000024,111111010011100
'Тр',0.000024,111111010011101
'Ло',0.000024,111111010011110
'7-',0.000024,1111110100111110
'ff',0.000024,1111110100111111
'йц',0.000024,111111010100000
'Ре',0.000024,111111010100001
"""'i""",0.000024,1111110101000100
'd ',0.000024,1111110101000101
'51',0.000024,111111010100011
'70',0.000024,111111010100100
'88',0.000024,111111010100101
'9-',0.000023,111111010100110
'дд',0.000023,1111110101001110
'ы!',0.000023,1111110101001111
'49',0.000023,111111010101000
'66',0.000023,111111010101001
'85',0.000023,111111010101010
't.',0.000023,1111110101010110
'e!',0.000023,1111110101010111
'ev',0.000023,1111110101011000
'у?',0.000023,1111110101011001
'rè',0.000023,111111010101101
'Им',0.000023,1111110101011100
'55',0.000023,1111110101011101
"""г'""",0.000023,111111010101111
'р-',0.000023,111111010110000
'Св',0.000023,1111110101100010
'53',0.000023,1111110101100011
'м:',0.000023,111111010110010
'Лы',0.000023,111111010110011
'хт',0.000023,111111010110100
'63',0.000023,1111110101101010
'и)',0.000023,1111110101101011
'тб',0.000023,111111010110110
'mé',0.000022,1111110101101110
'я-',0.000022,1111110101101111
'ad',0.000022,111111010111000
'Ип',0.000022,111111010111001
"""c'""",0.000022,111111010111010
'зз',0.000022,1111110101110110
'ч.',0.000022,1111110101110111
'hè',0.000022,111111010111100
'-\n',0.000022,1111110101111010
'Ев',0.000022,1111110101111011
'\n-',0.000022,111111010111110
'57',0.000022,1111110101111110
'71',0.000022,1111110101111111
'96',0.000022,111111011000000
'99',0.000022,111111011000001
'01',0.000022,111111011000010
'90',0.000022,1111110110000110
'vr',0.000022,1111110110000111
'gn',0.000022,111111011000100
' ю',0.000022,1111110110001010
'98',0.000022,1111110110001011
'04',0.000022,111111011000110
'л-',0.000022,1111110110001110
'és',0.000021,1111110110001111
'тм',0.000021,111111011001000
'72',0.000021,1111110110010010
'58',0.000021,1111110110010011
'СТ',0.000021,111111011001010
'cr',0.000021,1111110110010110
'7 ',0.000021,1111110110010111
'ig',0.000021,111111011001100
'о)',0.000021,1111110110011010
'мб',0.000021,1111110110011011
'Бр',0.000021,1111110110011100
'ТЬ',0.000021,1111110110011101
'Il',0.000021,111111011001111
'-а',0.000021,1111110110100000
'Уж',0.000021,1111110110100001
'52',0.000021,111111011010001
'Вп',0.000021,111111011010010
'К ',0.000020,1111110110100110
' R',0.000020,1111110110100111
'pu',0.000020,111111011010100
'-д',0.000020,1111110110101010
'к!',0.000020,1111110110101011
"'""Д'",0.000020,111111011010110
'ea',0.000020,1111110110101110
'т;',0.000020,1111110110101111
'ès',0.000020,111111011011000
'н?',0.000020,1111110110110010
'Оф',0.000020,1111110110110011
'к?',0.000020,111111011011010
'гч',0.000020,1111110110110110
'б-',0.000020,1111110110110111
'сз',0.000020,111111011011100
'ц.',0.000020,1111110110111010
'ЧА',0.000020,1111110110111011
'юц',0.000020,111111011011110
'ba',0.000020,1111110110111110
'жс',0.000020,1111110110111111
"'.""'",0.000020,111111011100000
"'""К'",0.000020,1111110111000010
'56',0.000020,1111110111000011
'97',0.000020,111111011100010
'03',0.000020,1111110111000110
'мц',0.000020,1111110111000111
'up',0.000019,1111110111001000
"',3'",0.000019,1111110111001001
'né',0.000019,1111110111001010
'сц',0.000019,1111110111001011
'т:',0.000019,111111011100110
'ы;',0.000019,1111110111001110
'61',0.000019,1111110111001111
"'я""'",0.000019,111111011101000
'__',0.000019,1111110111010010
'Ь ',0.000019,1111110111010011
'ь-',0.000019,111111011101010
'м!',0.000019,1111110111010110
'Ки',0.000019,1111110111010111
'оэ',0.000019,111111011101100
'89',0.000019,1111110111011010
'мм',0.000019,1111110111011011
'мч',0.000019,1111110111011100
'юз',0.000019,1111110111011101
'hi',0.000019,1111110111011110
'нш',0.000019,1111110111011111
'62',0.000019,111111011110000
'91',0.000019,1111110111100010
'АС',0.000019,1111110111100011
'r.',0.000019,111111011110010
'Зн',0.000019,1111110111100110
'.2',0.000019,1111110111100111
'ga',0.000019,111111011110100
'ю;',0.000019,1111110111101010
'нв',0.000019,1111110111101011
'яп',0.000018,1111110111101100
'éc',0.000018,1111110111101101
'Пу',0.000018,1111110111101110
'Ис',0.000018,1111110111101111
'лб',0.000018,111111011111000
'эл',0.000018,1111110111110010
'95',0.000018,1111110111110011
'e?',0.000018,1111110111110100
'pi',0.000018,1111110111110101
'jo',0.000018,1111110111110110
'н-',0.000018,1111110111110111
'Ле',0.000018,111111011111100
'94',0.000018,1111110111111010
'ru',0.000018,1111110111111011
'бд',0.000018,1111110111111100
'64',0.000018,1111110111111101
"'и""'",0.000018,1111110111111110
'92',0.000017,1111110111111111
'ng',0.000017,111111100000000
'uc',0.000017,1111111000000010
' Ц',0.000017,1111111000000011
'сж',0.000017,1111111000000100
'én',0.000017,1111111000000101
'л!',0.000017,1111111000000110
'67',0.000017,1111111000000111
'Ио',0.000017,111111100000100
'чр',0.000017,1111111000001010
"""'o""",0.000017,1111111000001011
'c ',0.000017,1111111000001100
'-б',0.000017,1111111000001101
'кж',0.000017,1111111000001110
'LX',0.000017,1111111000001111
'уа',0.000017,1111111000010000
"'z,'",0.000017,1111111000010001
'цв',0.000017,111111100001001
'у\n',0.000017,1111111000010100
'Зд',0.000017,1111111000010101
'Жи',0.000017,1111111000010110
"'V,'",0.000017,1111111000010111
'oc',0.000017,1111111000011000
'id',0.000017,1111111000011001
'Qu',0.000017,1111111000011010
' O',0.000017,1111111000011011
'Ав',0.000017,1111111000011100
'й:',0.000017,1111111000011101
'Пи',0.000017,1111111000011110
'х;',0.000017,1111111000011111
'съ',0.000017,111111100010000
'Ув',0.000017,1111111000100010
'уэ',0.000017,1111111000100011
'Мю',0.000017,1111111000100100
'-3',0.000017,1111111000100101
'ТО',0.000016,1111111000100110
'rg',0.000016,1111111000100111
'gé',0.000016,1111111000101000
"'""О'",0.000016,1111111000101001
'n.',0.000016,1111111000101010
'ыж',0.000016,1111111000101011
'rc',0.000016,1111111000101100
'Ni',0.000016,1111111000101101
'op',0.000016,1111111000101110
'эн',0.000016,1111111000101111
'ю?',0.000016,111111100011000
"""'u""",0.000016,1111111000110010
"""C'""",0.000016,1111111000110011
'ex',0.000016,1111111000110100
'ça',0.000016,1111111000110101
'юм',0.000016,1111111000110110
"'""Ч'",0.000016,1111111000110111
'Ча',0.000016,1111111000111000
"'""П'",0.000016,1111111000111001
"""'E""",0.000016,1111111000111010
'1)',0.000016,1111111000111011
' Q',0.000016,1111111000111100
'л;',0.000016,1111111000111101
'сг',0.000016,1111111000111110
'бч',0.000016,1111111000111111
"'""И'",0.000016,1111111001000000
'oy',0.000016,1111111001000001
' F',0.000016,1111111001000010
'br',0.000016,1111111001000011
'No',0.000016,1111111001000100
'Ей',0.000016,1111111001000101
"'ь""'",0.000016,1111111001000110
'жж',0.000016,1111111001000111
'Ор',0.000015,1111111001001000
'3)',0.000015,1111111001001001
'An',0.000015,1111111001001010
'pp',0.000015,1111111001001011
'н!',0.000015,1111111001001100
'Гу',0.000015,1111111001001101
'Му',0.000015,1111111001001110
'рр',0.000015,1111111001001111
'h ',0.000015,1111111001010000
'!1',0.000015,1111111001010001
'Бл',0.000015,1111111001010010
'59',0.000015,1111111001010011
'Су',0.000015,1111111001010100
'кч',0.000015,1111111001010101
'Пф',0.000015,1111111001010110
'ct',0.000015,1111111001010111
'gu',0.000015,1111111001011000
'nf',0.000015,11111110010110010
't-',0.000015,11111110010110011
'là',0.000015,1111111001011010
'уи',0.000015,1111111001011011
'А?',0.000015,1111111001011100
'Си',0.000015,1111111001011101
"'""С'",0.000015,1111111001011110
'2)',0.000015,1111111001011111
'(п',0.000014,1111111001100000
"""m'""",0.000014,1111111001100001
'ю-',0.000014,1111111001100010
'(с',0.000014,1111111001100011
' ê',0.000014,1111111001100100
'х!',0.000014,1111111001100101
'ls',0.000014,1111111001100110
')\n',0.000014,1111111001100111
"""j'""",0.000014,1111111001101000
'y ',0.000014,1111111001101001
'sé',0.000014,1111111001101010
'tu',0.000014,1111111001101011
"'́,'",0.000014,1111111001101100
'йр',0.000014,1111111001101101
'XL',0.000014,1111111001101110
'м)',0.000014,11111110011011110
'of',0.000014,11111110011011111
'т\n',0.000014,1111111001110000
'ua',0.000014,1111111001110001
'ы\n',0.000014,1111111001110010
'в!',0.000014,1111111001110011
'Ши',0.000014,1111111001110100
'Эп',0.000014,1111111001110101
'93',0.000014,1111111001110110
'х\n',0.000014,11111110011101110
'зъ',0.000014,11111110011101111
'Гд',0.000014,1111111001111000
'Em',0.000014,1111111001111001
"'б,'",0.000013,1111111001111010
'Di',0.000013,1111111001111011
'-m',0.000013,1111111001111100
'Co',0.000013,1111111001111101
'Вд',0.000013,1111111001111110
'ыи',0.000013,11111110011111110
'Ер',0.000013,11111110011111111
' T',0.000013,1111111010000000
'в;',0.000013,1111111010000001
'-2',0.000013,1111111010000010
'рф',0.000013,1111111010000011
'ib',0.000013,1111111010000100
' G',0.000013,11111110100001010
"'é,'",0.000013,11111110100001011
'п.',0.000013,1111111010000110
'Ah',0.000013,1111111010000111
"'e""'",0.000013,1111111010001000
'Тв',0.000013,1111111010001001
'iq',0.000013,1111111010001010
'Ша',0.000013,11111110100010110
"'""Я'",0.000013,11111110100010111
'ep',0.000013,1111111010001100
'п ',0.000013,11111110100011010
'mt',0.000013,11111110100011011
'ю!',0.000013,1111111010001110
'mb',0.000013,1111111010001111
'ia',0.000013,1111111010010000
'cu',0.000013,1111111010010001
'р!',0.000013,1111111010010010
'ю:',0.000013,1111111010010011
'Жа',0.000013,1111111010010100
'(т',0.000013,1111111010010101
'Фи',0.000013,1111111010010110
'ю\n',0.000013,11111110100101110
'щь',0.000013,11111110100101111
'fr',0.000013,1111111010011000
"'О,'",0.000013,1111111010011001
'Ди',0.000013,1111111010011010
'кк',0.000012,11111110100110110
'-л',0.000012,11111110100110111
'Ур',0.000012,1111111010011100
'тό',0.000012,1111111010011101
'sp',0.000012,1111111010011110
'Лу',0.000012,11111110100111110
'iè',0.000012,11111110100111111
'nu',0.000012,1111111010100000
"""'h""",0.000012,1111111010100001
'зч',0.000012,1111111010100010
'зт',0.000012,11111110101000110
'rl',0.000012,11111110101000111
'т-',0.000012,1111111010100100
'яш',0.000012,1111111010100101
'Вз',0.000012,1111111010100110
'― ',0.000012,11111110101001110
'ы:',0.000012,11111110101001111
"'u,'",0.000012,1111111010101000
'rn',0.000012,11111110101010010
"""'é""",0.000012,11111110101010011
"'И,'",0.000012,1111111010101010
'яи',0.000012,11111110101010110
'h!',0.000012,11111110101010111
'Ин',0.000012,1111111010101100
'дж',0.000012,1111111010101101
'Вл',0.000012,1111111010101110
'эр',0.000012,11111110101011110
' ―',0.000012,11111110101011111
'LI',0.000012,1111111010110000
'ye',0.000011,1111111010110001
'lé',0.000011,1111111010110010
'él',0.000011,11111110101100110
'z-',0.000011,11111110101100111
'Ее',0.000011,1111111010110100
's!',0.000011,11111110101101010
"""s'""",0.000011,11111110101101011
'я)',0.000011,1111111010110110
'ф.',0.000011,1111111010110111
'нз',0.000011,1111111010111000
'еф',0.000011,11111110101110010
'Шт',0.000011,11111110101110011
'-й',0.000011,1111111010111010
'Хр',0.000011,1111111010111011
'в?',0.000011,1111111010111100
'х-',0.000011,11111110101111010
'ОМ',0.000011,11111110101111011
'ь)',0.000011,1111111010111110
'La',0.000011,11111110101111110
"'м""'",0.000011,11111110101111111
'-е',0.000011,1111111011000000
'Vi',0.000011,11111110110000010
'́?',0.000011,11111110110000011
'Ол',0.000011,1111111011000010
'нж',0.000011,1111111011000011
'ό ',0.000011,1111111011000100
'pè',0.000011,11111110110001010
"'""Т'",0.000011,11111110110001011
'сф',0.000011,1111111011000110
"'""А'",0.000011,11111110110001110
'm ',0.000011,11111110110001111
'-х',0.000011,1111111011001000
'Ад',0.000011,11111110110010010
'пц',0.000011,11111110110010011
'Я.',0.000011,11111110110010100
'ép',0.000011,11111110110010101
'pé',0.000011,1111111011001011
"'т""'",0.000011,11111110110011000
'ы)',0.000011,11111110110011001
'фс',0.000011,1111111011001101
"'А,'",0.000011,11111110110011100
'Ок',0.000011,11111110110011101
'фт',0.000011,1111111011001111
'4)',0.000011,1111111011010000
'V\n',0.000010,11111110110100010
'А!',0.000010,11111110110100011
'oe',0.000010,11111110110100100
'p ',0.000010,11111110110100101
'Жо',0.000010,1111111011010011
'н;',0.000010,11111110110101000
'тщ',0.000010,11111110110101001
"'у""'",0.000010,1111111011010101
'LV',0.000010,1111111011010110
'-я',0.000010,11111110110101110
'.3',0.000010,11111110110101111
' H',0.000010,1111111011011000
'ud',0.000010,11111110110110010
"'l,'",0.000010,11111110110110011
'(н',0.000010,1111111011011010
'ё.',0.000010,11111110110110110
'вц',0.000010,11111110110110111
'Al',0.000010,1111111011011100
'Чу',0.000010,11111110110111010
'Si',0.000010,11111110110111011
'Ус',0.000010,1111111011011110
"'ш,'",0.000010,11111110110111110
'тх',0.000010,11111110110111111
"'h,'",0.000010,1111111011100000
'Эк',0.000010,11111110111000010
'жг',0.000010,11111110111000011
'ef',0.000010,1111111011100010
'Ce',0.000010,11111110111000110
'ié',0.000010,11111110111000111
"'""п'",0.000010,1111111011100100
'ja',0.000010,11111110111001010
'ub',0.000010,11111110111001011
'um',0.000010,11111110111001100
'въ',0.000010,11111110111001101
"""L'""",0.000010,11111110111001110
'(б',0.000010,11111110111001111
'д!',0.000010,1111111011101000
'Чи',0.000010,11111110111010010
'в\n',0.000010,11111110111010011
' y',0.000009,1111111011101010
'нб',0.000009,11111110111010110
'Ид',0.000009,11111110111010111
' K',0.000009,11111110111011000
'Ел',0.000009,11111110111011001
'êm',0.000009,11111110111011010
'gi',0.000009,11111110111011011
"'й""'",0.000009,1111111011101110
'вб',0.000009,11111110111011110
'у)',0.000009,11111110111011111
'уф',0.000009,1111111011110000
'л)',0.000009,11111110111100010
'эп',0.000009,11111110111100011
' w',0.000009,1111111011110010
'-Т',0.000009,11111110111100110
'.]',0.000009,11111110111100111
'мю',0.000009,1111111011110100
'юк',0.000009,11111110111101010
'Уч',0.000009,11111110111101011
'кц',0.000009,11111110111101100
'М.',0.000009,11111110111101101
'А.',0.000009,11111110111101110
'шм',0.000009,11111110111101111
'Pi',0.000009,11111110111110000
"'""М'",0.000009,11111110111110001
'фы',0.000009,11111110111110010
'Це',0.000009,11111110111110011
'Ед',0.000009,1111111011111010
'ps',0.000009,11111110111110110
'н\n',0.000009,11111110111110111
'шв',0.000009,1111111011111100
'йо',0.000009,11111110111111010
'Eh',0.000009,11111110111111011
'uo',0.000009,11111110111111100
's?',0.000009,11111110111111101
'Ru',0.000009,11111110111111110
'Ул',0.000009,11111110111111111
'Фо',0.000009,1111111100000000
'r!',0.000009,11111111000000010
'-ч',0.000009,11111111000000011
'5)',0.000009,11111111000000100
"""'а""",0.000009,11111111000000101
'бб',0.000008,11111111000000110
'зш',0.000008,11111111000000111
'Ge',0.000008,11111111000001000
'Et',0.000008,11111111000001001
' ç',0.000008,1111111100000101
"'""д'",0.000008,11111111000001100
'Pr',0.000008,11111111000001101
'Na',0.000008,11111111000001110
'Эй',0.000008,11111111000001111
'Кл',0.000008,11111111000010000
"'ю""'",0.000008,11111111000010001
'Вя',0.000008,1111111100001001
'Ха',0.000008,11111111000010100
'6)',0.000008,11111111000010101
'X\n',0.000008,11111111000010110
'х?',0.000008,11111111000010111
'mê',0.000008,11111111000011000
'ég',0.000008,11111111000011001
'б.',0.000008,11111111000011010
"'""н'",0.000008,11111111000011011
'̀л',0.000008,11111111000011100
'i.',0.000008,11111111000011101
';\n',0.000008,11111111000011110
'Ит',0.000008,11111111000011111
'(и',0.000008,11111111000100000
'af',0.000008,11111111000100001
'Ек',0.000008,11111111000100010
'Эн',0.000008,11111111000100011
"'a,'",0.000008,11111111000100100
'vé',0.000008,11111111000100101
"'ы""'",0.000008,11111111000100110
'кз',0.000008,11111111000100111
'ob',0.000008,11111111000101000
'в-',0.000008,11111111000101001
"'п,'",0.000008,11111111000101010
'.4',0.000008,11111111000101011
'Га',0.000008,11111111000101100
'-v',0.000008,11111111000101101
"',4'",0.000008,11111111000101110
'й)',0.000008,11111111000101111
'ж.',0.000008,11111111000110000
"'̀,'",0.000008,11111111000110001
'nç',0.000008,11111111000110010
'тг',0.000008,11111111000110011
'ш!',0.000008,11111111000110100
'Ог',0.000008,11111111000110101
"'""Г'",0.000008,11111111000110110
"'""У'",0.000008,11111111000110111
'if',0.000007,11111111000111000
"'x,'",0.000007,11111111000111001
'aî',0.000007,11111111000111010
"""J'""",0.000007,11111111000111011
'?1',0.000007,11111111000111100
' U',0.000007,11111111000111101
'Un',0.000007,11111111000111110
'nv',0.000007,11111111000111111
'hé',0.000007,11111111001000000
"'""Е'",0.000007,11111111001000001
'lt',0.000007,11111111001000010
'eg',0.000007,11111111001000011
'нф',0.000007,11111111001000100
'кш',0.000007,11111111001000101
'Ох',0.000007,11111111001000110
'Pa',0.000007,11111111001000111
'Уб',0.000007,11111111001001000
'7)',0.000007,11111111001001001
'9)',0.000007,11111111001001010
'8)',0.000007,11111111001001011
'АЯ',0.000007,11111111001001100
'ЕТ',0.000007,11111111001001101
'Ro',0.000007,111111110010011100
'ît',0.000007,111111110010011101
'уо',0.000007,11111111001001111
'uj',0.000007,11111111001010000
'Ch',0.000007,11111111001010001
'th',0.000007,11111111001010010
'rê',0.000007,11111111001010011
'ьщ',0.000007,11111111001010100
'ы-',0.000007,11111111001010101
'мт',0.000007,11111111001010110
'х)',0.000007,11111111001010111
"'""в'",0.000007,11111111001011000
'-Б',0.000007,11111111001011001
"'d,'",0.000007,11111111001011010
"',]'",0.000007,11111111001011011
'бг',0.000007,11111111001011100
'ds',0.000007,11111111001011101
'Be',0.000007,11111111001011110
'-у',0.000007,111111110010111110
'М ',0.000007,111111110010111111
'ЕР',0.000007,11111111001100000
'х:',0.000007,11111111001100001
'e)',0.000007,11111111001100010
'Ны',0.000007,11111111001100011
'On',0.000007,11111111001100100
'A ',0.000007,11111111001100101
"""'о""",0.000007,11111111001100110
'Як',0.000007,111111110011001110
"'""с'",0.000007,111111110011001111
'тф',0.000007,11111111001101000
'к:',0.000007,11111111001101001
'хш',0.000007,11111111001101010
'Дя',0.000007,11111111001101011
'ьв',0.000007,11111111001101100
'Au',0.000007,111111110011011010
'р?',0.000007,111111110011011011
'Ап',0.000007,11111111001101110
'к;',0.000007,11111111001101111
'aq',0.000007,11111111001110000
"'""у'",0.000007,11111111001110001
"'""Р'",0.000007,11111111001110010
'X ',0.000007,111111110011100110
'\nГ',0.000006,111111110011100111
'Sc',0.000006,111111110011101000
'mè',0.000006,111111110011101001
'lè',0.000006,11111111001110101
'кд',0.000006,11111111001110110
'eo',0.000006,11111111001110111
'а̀',0.000006,111111110011110000
'cc',0.000006,111111110011110001
'-r',0.000006,11111111001111001
'ué',0.000006,11111111001111010
'Sa',0.000006,11111111001111011
'Иг',0.000006,111111110011111000
');',0.000006,111111110011111001
'cl',0.000006,11111111001111101
' Щ',0.000006,11111111001111110
'Ще',0.000006,11111111001111111
'M-',0.000006,111111110100000000
'Ря',0.000006,111111110100000001
'we',0.000006,11111111010000001
'гш',0.000006,11111111010000010
'De',0.000006,11111111010000011
'уц',0.000006,11111111010000100
'РЕ',0.000006,11111111010000101
"""'y""",0.000006,11111111010000110
'!2',0.000006,111111110100001110
'e1',0.000006,111111110100001111
'(О',0.000006,11111111010001000
'-и',0.000006,11111111010001001
"'р""'",0.000006,11111111010001010
'г?',0.000006,111111110100010110
'hu',0.000006,111111110100010111
'(э',0.000006,11111111010001100
'ж?',0.000006,11111111010001101
'зa',0.000006,11111111010001110
"'""Б'",0.000006,111111110100011110
'-Ж',0.000006,111111110100011111
'vu',0.000006,11111111010010000
'Fr',0.000006,11111111010010001
'ОР',0.000006,11111111010010010
' І',0.000006,111111110100100110
'(г',0.000006,111111110100100111
'т)',0.000006,11111111010010100
'жм',0.000006,111111110100101010
